Protein Name, accCF, accCFHelices, accCFSheets, accCFCoils, accGor, accGorHelices, accGorSheets, accGorCoils
5LOSA,0.5932203389830508,0.6341463414634146,NaN,0.5,0.8983050847457628,0.926829268292683,NaN,0.8333333333333334
5LSFA,0.3786008230452675,0.125,0,0.644927536231884,0.4691358024691358,0.5416666666666666,0.5679012345679012,0.39855072463768115
5NFA2,0.41916167664670656,0.5,0.03225806451612903,0.6167883211678832,0.3652694610778443,0.8333333333333334,0.23225806451612904,0.3175182481751825
5OC0A,0.4074074074074074,0.36585365853658536,0,0.5423728813559322,0.6984126984126984,0.8130081300813008,0.7142857142857143,0.4576271186440678
5OF2A,0.44285714285714284,0.56,0.1125,0.6666666666666666,0.2904761904761905,0.88,0.075,0.3142857142857143
5ZYUA,0.41732283464566927,0.23300970873786409,0.20454545454545456,0.6822429906542056,0.5433070866141733,0.7572815533980582,0.25,0.45794392523364486
6AR0A,0.2642857142857143,NaN,0,0.5,0.40714285714285714,NaN,0.3181818181818182,0.4864864864864865
6EK7A,0.5463414634146342,0.45962732919254656,NaN,0.8636363636363636,0.651219512195122,0.7888198757763976,NaN,0.14772727272727273
6EXPC,0.21153846153846154,0.38095238095238093,0,0.4,0.4326923076923077,1,0.10416666666666667,0.5428571428571428
6HCPB,0.2776203966005666,0.40789473684210525,0.008547008547008548,0.5806451612903226,0.2988668555240793,0.5526315789473685,0.26495726495726496,0.2724014336917563
